header	time	ax1	ay1	az1	ax2	ay2	az2
[accel]	5474	-188	-4	16464	-128	276	16388
[accel]	5484	-280	-8	16420	-156	168	16544
[accel]	5494	-236	68	16316	-132	200	16512
[accel]	5504	-256	-56	16384	-168	212	16300
[accel]	5514	-296	-56	16248	-124	180	16376
[accel]	5524	-100	-52	16308	-88	104	16324
[accel]	5534	-172	40	16408	-144	196	16372
[accel]	5544	-332	36	16420	-184	124	16512
[accel]	5554	-144	64	16432	-36	140	16504
[accel]	5564	-216	-32	16292	-120	224	16424
[accel]	5574	-184	-40	16404	-168	300	16396
[accel]	5584	-164	0	16388	-60	304	16272
[accel]	5594	-296	92	16320	-144	284	16392
[accel]	5604	-228	48	16440	-40	176	16468
[accel]	5614	-408	32	16228	-124	252	16464
[accel]	5624	-140	-88	16272	-136	208	16368
[accel]	5634	-196	64	16384	-36	136	16336
[accel]	5644	-212	-20	16380	-24	196	16584
[accel]	5654	-228	80	16416	-92	288	16316
[accel]	5664	-268	-76	16312	-224	188	16304
[accel]	5675	-204	-24	16360	-108	216	16324
[accel]	5684	-136	8	16328	-96	216	16380
[accel]	5694	-140	16	16304	-76	216	16328
[accel]	5704	-184	144	16276	-64	204	16280
[accel]	5714	-216	-12	16112	-92	112	16396
[accel]	5724	-220	-60	16360	-112	236	16428
[accel]	5734	-108	28	16408	-124	284	16432
[accel]	5744	-128	12	16460	-100	84	16464
[accel]	5754	-304	-12	16468	-184	272	16316
