sensor	time	ax	ay	az
2	2327	-404	296	22996
1	2337	1680	-280	15768
2	2337	-460	328	22860
1	2347	1704	-168	15744
2	2347	-496	244	22964
1	2357	1668	-304	15628
2	2357	-496	232	22948
1	2367	1696	-308	15632
2	2367	-584	284	23076
1	2377	1716	-276	15716
2	2377	-408	416	23088
1	2387	1640	-360	15848
2	2387	-592	332	22924
1	2397	1632	-332	15724
2	2397	-432	304	22928
1	2407	1608	-232	15792
2	2407	-536	256	22996
1	2417	1600	-316	15604
2	2417	-516	240	22996
1	2427	1644	-168	15756
2	2427	-480	284	22900
1	2437	1672	-152	15596
2	2437	-488	184	22932
1	2447	1592	-292	15844
2	2447	-472	312	22964
1	2457	1664	-280	15664
2	2457	-448	248	23076
1	2467	1756	-308	15740
2	2467	-584	368	23012
1	2477	1656	-276	15588
2	2477	-380	300	22948
1	2487	1580	-300	15752
2	2487	-400	372	23000
1	2497	1668	-232	15764
2	2497	-448	268	22880
1	2507	1656	-280	15880
2	2507	-572	348	23064
1	2518	1692	-312	15784
2	2518	-488	288	23028
1	2527	1624	-236	15704
2	2527	-380	324	23140
1	2537	1652	-200	15600
2	2537	-620	268	22840
1	2547	1676	-344	15796
2	2547	-460	320	22948
1	2557	1628	-256	15680
2	2557	-440	336	22952
1	2567	1548	-320	15560
2	2567	-548	212	22988
1	2577	1700	-304	15636
2	2577	-504	324	23068
1	2587	1564	-288	15668
2	2587	-496	320	22956
1	2597	1684	-280	15796
2	2597	-512	220	22980
1	2607	1652	-296	15652
2	2607	-488	288	23008
1	2617	1596	-224	15644
2	2617	-472	236	23060
1	2627	1628	-348	15596
2	2627	-528	240	22936
1	2637	1632	-252	15748
2	2637	-488	284	23060
1	2647	1728	-264	15732
2	2647	-552	240	23088
1	2657	1696	-324	15752
2	2657	-468	332	22856
1	2667	1628	-260	15796
2	2667	-504	240	23156
1	2677	1668	-272	15764
2	2677	-516	384	23012
1	2688	1612	-212	15720
2	2688	-540	436	22840
1	2697	1572	-180	15652
2	2697	-508	248	22980
1	2707	1564	-260	15704
2	2707	-396	316	23032
1	2717	1648	-356	15648
2	2717	-576	372	22948
1	2727	1712	-328	15756
2	2727	-516	296	22956
1	2737	1636	-216	15880
2	2737	-516	260	22904
1	2747	1584	-276	15536
2	2747	-504	284	22968
1	2757	1728	-320	15740
2	2757	-516	436	23012
1	2767	1568	-284	15616
2	2767	-456	312	22976
1	2777	1728	-292	15788
2	2777	-568	328	23020
1	2787	1636	-260	15668
2	2787	-552	396	23020
1	2797	1624	-244	15612
2	2797	-524	348	22968
1	2807	1540	-296	15576
2	2807	-404	352	22852
1	2817	1588	-252	15688
2	2817	-556	340	22952
1	2827	1620	-228	15588
2	2827	-500	308	22900
1	2837	1648	-328	15680
2	2837	-472	316	22824
1	2847	1612	-220	15680
2	2847	-548	304	23024
1	2857	1524	-340	15688
2	2857	-556	260	23004
1	2867	1692	-288	15664
2	2867	-436	324	22972
1	2877	1628	-272	15680
2	2877	-528	276	22936
1	2887	1688	-300	15680
2	2887	-548	276	22940
1	2897	1652	-156	15808
2	2897	-444	332	22956
1	2907	1636	-304	15672
2	2907	-584	320	22972
1	2917	1660	-224	15780
2	2917	-464	296	23016
1	2927	1776	-272	15768
2	2927	-444	380	22780
1	2937	1700	-236	15704
2	2937	-576	264	23092
1	2947	1632	-268	15856
2	2947	-432	224	22908
1	2957	1692	-260	15592
2	2957	-464	368	22924
1	2967	1600	-312	15744
2	2967	-460	292	22908
1	2977	1716	-160	15644
2	2977	-544	336	22944
1	2987	1744	-232	15808
2	2987	-492	296	23056
1	2997	1652	-276	15824
2	2997	-436	272	22952
1	3007	1664	-228	15628
2	3007	-400	256	23032
1	3017	1552	-300	15716
2	3017	-540	228	22928
1	3027	1656	-272	15804
2	3027	-500	404	23040
1	3037	1628	-276	15720
2	3037	-600	448	23080
1	3047	1624	-172	15744
2	3047	-488	240	23024
1	3057	1640	-268	15776
2	3057	-520	204	23048
1	3067	1616	-288	15624
2	3067	-516	340	23060
1	3077	1632	-256	15876
2	3077	-508	352	22928
1	3087	1600	-252	15640
2	3087	-552	344	23136
1	3097	1612	-276	15676
2	3097	-528	380	22972
1	3107	1668	-180	15844
2	3107	-520	308	22904
1	3117	1660	-320	15724
2	3117	-456	312	23064
1	3127	1748	-252	15680
2	3127	-456	420	22980
1	3137	1696	-236	15716
2	3137	-456	320	23032
1	3147	1644	-244	15740
2	3147	-504	292	23044
1	3158	1696	-216	15596
2	3158	-592	380	23060
1	3167	1612	-228	15612
2	3167	-468	300	22988
1	3177	1580	-264	15616
2	3177	-492	400	22940
1	3187	1668	-224	15652
2	3187	-508	428	22836
1	3197	1692	-240	15608
2	3197	-524	264	23124
1	3207	1644	-248	15648
2	3207	-516	408	22968
1	3217	1628	-328	15680
2	3217	-484	204	22916
1	3227	1668	-320	15712
2	3227	-460	364	23036
1	3237	1636	-240	15596
2	3237	-516	312	23088
1	3247	1648	-232	15696
2	3247	-464	372	22948
1	3257	1560	-164	15560
2	3257	-564	336	22920
1	3267	1596	-264	15708
2	3267	-492	288	22984
1	3277	1540	-312	15732
2	3277	-516	292	22980
1	3287	1648	-280	15744
2	3287	-456	308	23116
1	3297	1596	-244	15616
2	3297	-376	376	23088
1	3307	1632	-256	15684
2	3307	-456	364	22880
1	3317	1628	-272	15612
2	3317	-552	324	22976
1	3328	1676	-268	15648
2	3328	-544	396	23056
1	3337	1616	-264	15728
2	3337	-488	328	22948
1	3347	1668	-236	15736
2	3347	-436	224	23020
1	3357	1656	-288	15808
2	3357	-520	440	22988
1	3367	1608	-264	15732
2	3367	-476	372	22896
1	3377	1636	-352	15752
2	3377	-508	304	23008
1	3387	1636	-200	15776
2	3387	-464	316	22916
1	3397	1636	-236	15784
2	3397	-472	312	23016
1	3407	1568	-212	15692
2	3407	-496	440	22860
1	3417	1656	-192	15668
2	3417	-448	228	23076
1	3427	1624	-296	15604
2	3427	-552	204	22912
1	3437	1656	-240	15848
2	3437	-464	296	23052
1	3447	1680	-268	15780
2	3447	-504	320	22920
1	3457	1624	-288	15660
2	3457	-480	380	22908
1	3467	1740	-320	15844
2	3467	-560	316	22956
1	3477	1636	-332	15656
2	3477	-420	340	23052
1	3487	1608	-276	15636
2	3487	-456	296	22928
1	3497	1632	-340	15692
2	3497	-452	292	23108
1	3507	1684	-216	15684
2	3507	-524	320	23016
1	3517	1708	-188	15676
2	3517	-436	268	22880
1	3527	1640	-236	15820
2	3527	-504	356	23028
1	3537	1656	-264	15772
2	3537	-432	268	22932
1	3547	1680	-180	15664
2	3547	-428	292	22976
1	3557	1580	-304	15528
2	3557	-552	320	23136
1	3567	1744	-336	15692
2	3567	-464	372	23052
1	3577	1620	-260	15728
2	3577	-532	332	23032
1	3587	1480	-284	15724
2	3587	-536	320	22928
1	3597	1592	-288	15728
2	3597	-332	392	22940
1	3607	1600	-240	15708
2	3607	-520	244	22892
1	3617	1644	-236	15640
2	3617	-452	344	22924
1	3627	1480	-188	15720
2	3627	-496	248	23040
1	3637	1656	-328	15684
2	3637	-508	324	22904
